epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,13.6654,1.18823,3.50616,0.39458,0.74015,1.20484,0.49417,0.64286,0.50381,0.31583,0.26886,0.35714,0.17489,0.03531,1.58855,6.86834,0.47721,1.52679,1.62873,0.000386152,0.000386152,0.000386152
28,14.0871,1.30249,2.93073,0.34826,0.79443,1.15736,0.49417,0.64286,0.50381,0.31583,0.26886,0.35714,0.17489,0.03531,1.58855,6.86834,0.47721,1.52679,1.62873,0.000395658,0.000395658,0.000395658
29,14.5605,0.9573,4.08325,0.35156,0.85843,1.07272,0.47997,0.57143,0.50765,0.27062,0.18026,0.28571,0.06931,0.01281,1.72474,7.13597,0.55028,1.65442,1.65991,0.000404768,0.000404768,0.000404768
30,14.9874,1.05999,3.84658,0.34383,0.97024,1.08978,0.47997,0.57143,0.50765,0.27062,0.18026,0.28571,0.06931,0.01281,1.72474,7.13597,0.55028,1.65442,1.65991,0.000413482,0.000413482,0.000413482
31,15.4692,1.34004,2.82166,0.30133,0.84954,1.2665,0.56592,0.42857,0.51245,0.24029,0.11925,0.14286,0.03577,0.00939,1.96409,7.73693,0.655,1.75553,1.80005,0.0004218,0.0004218,0.0004218
32,15.9175,1.29479,3.24644,0.6773,0.91335,1.4851,0.56592,0.42857,0.51245,0.24029,0.11925,0.14286,0.03577,0.00939,1.96409,7.73693,0.655,1.75553,1.80005,0.000429722,0.000429722,0.000429722
33,16.5525,1.26439,3.83421,0.31175,0.77515,1.19093,0.85431,0.35714,0.53041,0.239,0.11153,0.14286,0.02809,0.00982,2.03635,8.09022,0.68202,1.87225,1.91366,0.000437248,0.000437248,0.000437248
34,17.0002,1.34935,3.42991,0.2928,0.80234,1.24275,0.85431,0.35714,0.53041,0.239,0.11153,0.14286,0.02809,0.00982,2.03635,8.09022,0.68202,1.87225,1.91366,0.000444378,0.000444378,0.000444378
35,17.4401,1.06447,2.80812,0.29748,0.7554,1.02694,0.81135,0.42857,0.53849,0.2405,0.25241,0.14286,0.04561,0.01194,2.10125,8.56663,0.69066,1.94897,2.03187,0.000451112,0.000451112,0.000451112
36,17.8575,1.06686,3.18695,0.34152,0.82069,1.07413,0.81135,0.42857,0.53849,0.2405,0.25241,0.14286,0.04561,0.01194,2.10125,8.56663,0.69066,1.94897,2.03187,0.00045745,0.00045745,0.00045745
37,18.3047,0.91898,3.26309,0.32619,0.67176,1.00664,0.96017,0.42857,0.52271,0.24055,0.4462,0.14286,0.07622,0.03105,2.02285,8.84436,0.66628,1.85721,2.17314,0.000463392,0.000463392,0.000463392
38,18.8496,1.01065,3.82883,0.3095,0.7473,1.15723,0.96017,0.42857,0.52271,0.24055,0.4462,0.14286,0.07622,0.03105,2.02285,8.84436,0.66628,1.85721,2.17314,0.000468938,0.000468938,0.000468938
